stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3249-1,,西郷役場入口,,37.139766,140.153090,Z3249-1,,0,,,
3249-2,,西郷役場入口,,37.139859,140.153010,Z3249-2,,0,,,
3250-1,,上折口原,,37.141019,140.149123,Z3250-1,,0,,,
3251-1,,真船入口,,37.143161,140.142628,Z3251-1,,0,,,
3252-1,,下折口,,37.146344,140.134605,Z3252-1,,0,,,
3253-1,,折口,,37.149871,140.129796,Z3253-1,,0,,,
3254-1,,追原入口,,37.158651,140.121197,Z3254-1,,0,,,
3255-1,,桜道中央,,37.159313,140.117456,Z3255-1,,0,,,
3256-1,,自衛隊正門前,,37.160789,140.111033,Z3256-1,,0,,,
3257-1,,老人福祉センター前,,37.159518,140.104697,Z3257-1,,0,,,
3258-1,,西郷瀞入口,,37.156673,140.103917,Z3258-1,,0,,,
3259-1,,四ツ門,,37.155053,140.101202,Z3259-1,,0,,,
3260-1,,川谷局前,,37.157152,140.096167,Z3260-1,,0,,,
3261-1,,川谷,,37.160418,140.090851,Z3261-1,,0,,,
3262-1,,高清水,,37.167350,140.071417,Z3262-1,,0,,,
3263-1,,ゴルフ場入口,,37.175094,140.041178,Z3263-1,,0,,,
3264-1,,新甲子,,37.176664,140.034406,Z3264-1,,0,,,
3269-1,,白河高校,,37.125710,140.200261,Z3269-1,,0,,,
3270-1,,御台場,,37.125531,140.196522,Z3270-1,,0,,,
3270-2,,御台場,,37.125448,140.195936,Z3270-2,,0,,,
3271-1,,二中入口,,37.125554,140.188870,Z3271-1,,0,,,
3273-1,,三菱パルプ,,37.123479,140.182281,Z3273-1,,0,,,
3274-1,,上新田,,37.122675,140.173983,Z3274-1,,0,,,
3274-2,,上新田,,37.122965,140.171655,Z3274-2,,0,,,
3274-3,,上新田,,37.122305,140.172810,Z3274-3,,0,,,
3275-1,,森の湯,,37.122501,140.167179,Z3275-1,,0,,,
3275-2,,森の湯,,37.123015,140.168794,Z3275-2,,0,,,
3275-3,,森の湯,,37.123537,140.167651,Z3275-3,,0,,,
3276-1,,小田倉小学校前,,37.120609,140.161796,Z3276-1,,0,,,
3276-2,,小田倉小学校前,,37.120375,140.160670,Z3276-2,,0,,,
3277-1,,原中下,,37.118987,140.156472,Z3277-1,,0,,,
3278-1,,原中,,37.117769,140.151027,Z3278-1,,0,,,
3278-2,,原中,,37.117627,140.150860,Z3278-2,,0,,,
3279-1,,西郷二中前,,37.118810,140.146347,Z3279-1,,0,,,
3280-2,,馬場坂入口,,37.120460,140.137489,Z3280-2,,0,,,
3281-1,,上野原西,,37.124972,140.131460,Z3281-1,,0,,,
3282-1,,石山入口,,37.127961,140.125342,Z3282-1,,0,,,
3283-1,,太陽の国管理センター,,37.131993,140.120169,Z3283-1,,0,,,
3284-1,,太陽の国,,37.138687,140.113593,Z3284-1,,0,,,
3285-1,,下芝原,,37.142897,140.109100,Z3285-1,,0,,,
3286-1,,芝原牧場前,,37.148353,140.103756,Z3286-1,,0,,,
3287-1,,発電所前,,37.168875,140.079229,Z3287-1,,0,,,
3288-1,,下由井ヶ原,,37.174603,140.072498,Z3288-1,,0,,,
3289-1,,由井ヶ原,,37.176881,140.066833,Z3289-1,,0,,,
3290-1,,馬場坂下,,37.121365,140.127871,Z3290-1,,0,,,
3298-1,,稗返,,37.114976,140.129199,Z3298-1,,0,,,
3299-1,,柳沢入口,,37.112614,140.124997,Z3299-1,,0,,,
3300-1,,赤坂,,37.112104,140.120847,Z3300-1,,0,,,
3301-1,,綱子,,37.113656,140.113047,Z3301-1,,0,,,
3322-1,,市役所前,,37.128196,140.211003,Z3322-1,,0,,,
3322-2,,市役所前,,37.128299,140.210610,Z3322-2,,0,,,
3323-1,,天神町,,37.127928,140.205815,Z3323-1,,0,,,
3323-2,,天神町,,37.127991,140.205917,Z3323-2,,0,,,
3324-1,,二番町,,37.126095,140.204921,Z3324-1,,0,,,
3333-1,,南湖東口,,37.109930,140.223809,Z3333-1,,0,,,
3333-2,,南湖東口,,37.109946,140.223698,Z3333-2,,0,,,
3334-1,,八竜神,,37.116074,140.227801,Z3334-1,,0,,,
3334-2,,八竜神,,37.115884,140.227511,Z3334-2,,0,,,
3335-1,,旭町二丁目,,37.119343,140.227252,Z3335-1,,0,,,
3336-1,,旭町一丁目,,37.121662,140.225062,Z3336-1,,0,,,
3336-2,,旭町一丁目,,37.121878,140.224763,Z3336-2,,0,,,
3337-1,,白河旭高校,,37.122681,140.223896,Z3337-1,,0,,,
3337-2,,白河旭高校,,37.123040,140.223287,Z3337-2,,0,,,
3338-1,,白河第三小学校,,37.124941,140.220684,Z3338-1,,0,,,
3338-2,,白河第三小学校,,37.124918,140.220566,Z3338-2,,0,,,
3339-1,,本町四辻,,37.125444,140.219367,Z3339-1,,0,,,
3339-2,,本町四辻,,37.125501,140.219070,Z3339-2,,0,,,
3342-1,,一里段,,37.099375,140.197106,Z3342-1,,0,,,
3343-1,,皮籠,,37.094421,140.197879,Z3343-1,,0,,,
3344-1,,白坂組合前,,37.081269,140.192244,Z3344-1,,0,,,
3345-1,,泉岡,,37.079068,140.191232,Z3345-1,,0,,,
3346-1,,白坂,,37.076608,140.190948,Z3346-1,,0,,,
3362-1,,由井ヶ原入口,,37.164094,140.085172,Z3362-1,,0,,,
3364-1,,白河実業高校,,37.101778,140.228800,Z3364-1,,0,,,
3364-2,,白河実業高校,,37.102088,140.228848,Z3364-2,,0,,,
3365-1,,夏梨,,37.096142,140.229727,Z3365-1,,0,,,
3366-1,,亀石橋,,37.081247,140.224072,Z3366-1,,0,,,
3367-1,,大久保,,37.074419,140.222707,Z3367-1,,0,,,
3368-1,,茂ヶ崎,,37.060422,140.232195,Z3368-1,,0,,,
3369-1,,茂ヶ崎入口,,37.056681,140.234708,Z3369-1,,0,,,
3370-1,,旗宿下,,37.052253,140.231161,Z3370-1,,0,,,
3371-1,,旗宿上,,37.050245,140.229632,Z3371-1,,0,,,
3372-1,,白河の関,,37.047154,140.227665,Z3372-1,,0,,,
3373-1,,合戦坂入口,,37.105712,140.230061,Z3373-1,,0,,,
3403-1,,中田,,37.120313,140.228322,Z3403-1,,0,,,
3403-2,,中田,,37.120066,140.228818,Z3403-2,,0,,,
3404-1,,鹿島橋,,37.119162,140.231553,Z3404-1,,0,,,
3404-2,,鹿島橋,,37.119085,140.231559,Z3404-2,,0,,,
3405-1,,搦目,,37.116023,140.241420,Z3405-1,,0,,,
3405-2,,搦目,,37.115974,140.241395,Z3405-2,,0,,,
3406-1,,木の下,,37.115232,140.255284,Z3406-1,,0,,,
3406-2,,木の下,,37.115483,140.254245,Z3406-2,,0,,,
3407-1,,双石,,37.113946,140.259158,Z3407-1,,0,,,
3407-2,,双石,,37.113659,140.259699,Z3407-2,,0,,,
3408-1,,板橋,,37.115462,140.274073,Z3408-1,,0,,,
3409-1,,舟田入口,,37.116163,140.278660,Z3409-1,,0,,,
3410-1,,五箇小学校,,37.117077,140.286290,Z3410-1,,0,,,
3411-1,,田島,,37.117256,140.290122,Z3411-1,,0,,,
3412-1,,借宿,,37.117066,140.293071,Z3412-1,,0,,,
3413-1,,細倉,,37.116287,140.306230,Z3413-1,,0,,,
3414-1,,蕪内西口,,37.116182,140.318065,Z3414-1,,0,,,
3414-2,,蕪内西口,,37.115814,140.318624,Z3414-2,,0,,,
3415-1,,蕪内,,37.115223,140.324834,Z3415-1,,0,,,
3415-2,,蕪内,,37.115135,140.322220,Z3415-2,,0,,,
3416-1,,深仁井田西口,,37.114987,140.331584,Z3416-1,,0,,,
3416-2,,深仁井田西口,,37.114869,140.331692,Z3416-2,,0,,,
3417-1,,深仁井田東口,,37.113699,140.336767,Z3417-1,,0,,,
3417-2,,深仁井田東口,,37.113525,140.337683,Z3417-2,,0,,,
3418-1,,道山,,37.114895,140.341277,Z3418-1,,0,,,
3418-2,,道山,,37.114750,140.341135,Z3418-2,,0,,,
3446-1,,沢井,,37.141986,140.408475,Z3446-1,,0,,,
3447-1,,外槇,,37.141422,140.418200,Z3447-1,,0,,,
3448-1,,桜ヶ岡,,37.137237,140.432840,Z3448-1,,0,,,
3448-2,,桜ヶ岡,,37.137173,140.432832,Z3448-2,,0,,,
3449-1,,猫啼,,37.136381,140.437050,Z3449-1,,0,,,
3449-2,,猫啼,,37.136357,140.436835,Z3449-2,,0,,,
3450-1,,石川新町,,37.147784,140.457190,Z3450-1,,0,,,
3450-2,,石川新町,,37.147722,140.457182,Z3450-2,,0,,,
3451-1,,本宮,,37.147934,140.460007,Z3451-1,,0,,,
3451-2,,本宮,,37.147874,140.460014,Z3451-2,,0,,,
3472-1,,立ヶ岡,,37.136193,140.445351,Z3472-1,,0,,,
3484-1,,向久保,,37.119636,140.356803,Z3484-1,,0,,,
3485-1,,柏原,,37.121669,140.364545,Z3485-1,,0,,,
3486-1,,林,,37.128601,140.372245,Z3486-1,,0,,,
